id,bridge_transaction_id,account_id,user_id,clean_description,provider_description,amount,date,booking_date,transaction_date,value_date,currency_code,category_id,operation_type,merchant_name,deleted,future,updated_at_bridge,created_at,updated_at
1,10000000,1,3,Carte 3 4X Cb Oney Croix 19/08,Carte 3 4X Cb Oney Croix 19/08,-27.7,2021-07-27 00:00:00+00:00,2021-07-27 00:00:00+00:00,2021-07-27 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:09.514176+00:00,2025-10-15 19:35:09.514176+00:00
2,10000001,1,3,Carte 3 4X Cb Oney Croix 19/08,Carte 3 4X Cb Oney Croix 19/08,-27.99,2021-06-28 00:00:00+00:00,2021-06-28 00:00:00+00:00,2021-06-28 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:10.201496+00:00,2025-10-15 19:35:10.201496+00:00
3,10000002,1,3,Carte 3 4X Cb Oney Croix 20/09,Carte 3 4X Cb Oney Croix 20/09,-27.69,2021-07-27 00:00:00+00:00,2021-07-27 00:00:00+00:00,2021-07-27 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:10.963543+00:00,2025-10-15 19:35:10.963543+00:00
4,10000003,1,3,Carte 3 4X Cb Oney Croix 25/09,Carte 3 4X Cb Oney Croix 25/09,-33.03,2021-08-02 00:00:00+00:00,2021-08-02 00:00:00+00:00,2021-08-02 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:11.686730+00:00,2025-10-15 19:35:11.686730+00:00
5,10000004,1,3,Carte 3 4X Cb Oney Croix 25/08,Carte 3 4X Cb Oney Croix 25/08,-33.03,2021-08-02 00:00:00+00:00,2021-08-02 00:00:00+00:00,2021-08-02 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:12.412276+00:00,2025-10-15 19:35:12.412276+00:00
6,10000005,1,3,Carte 3 4X Cb Oney Croix 30/07,Carte 3 4X Cb Oney Croix 30/07,-34.47,2021-08-02 00:00:00+00:00,2021-08-02 00:00:00+00:00,2021-08-02 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:13.159356+00:00,2025-10-15 19:35:13.159356+00:00
7,10000006,1,3,Carte 3 4X Cb Oney Croix 19/07,Carte 3 4X Cb Oney Croix 19/07,-27.7,2021-07-27 00:00:00+00:00,2021-07-27 00:00:00+00:00,2021-07-27 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:13.864663+00:00,2025-10-15 19:35:13.864663+00:00
8,10000007,1,3,Carte 3 4X Cb Oney Croix 19/07,Carte 3 4X Cb Oney Croix 19/07,-28.0,2021-06-28 00:00:00+00:00,2021-06-28 00:00:00+00:00,2021-06-28 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:14.580365+00:00,2025-10-15 19:35:14.580365+00:00
9,10000008,1,3,Carte 3 4X Cb Oney Croix 16/11,Carte 3 4X Cb Oney Croix 16/11,-35.29,2021-08-02 00:00:00+00:00,2021-08-02 00:00:00+00:00,2021-08-02 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:15.300523+00:00,2025-10-15 19:35:15.300523+00:00
10,10000009,1,3,Carte 3 4X Cb Oney Croix 15/11,Carte 3 4X Cb Oney Croix 15/11,-25.21,2021-11-24 00:00:00+00:00,2021-11-24 00:00:00+00:00,2021-11-24 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:16.060522+00:00,2025-10-15 19:35:16.060522+00:00
11,10000010,1,3,Carte 3 4X Cb Oney Croix 27/11,Carte 3 4X Cb Oney Croix 27/11,-43.43,2021-12-01 00:00:00+00:00,2021-12-01 00:00:00+00:00,2021-12-01 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:16.782378+00:00,2025-10-15 19:35:16.782378+00:00
12,10000011,1,3,Carte 3 4X Cb Oney Croix 24/06,Carte 3 4X Cb Oney Croix 24/06,-29.22,2021-06-28 00:00:00+00:00,2021-06-28 00:00:00+00:00,2021-06-28 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:17.514386+00:00,2025-10-15 19:35:17.514386+00:00
13,10000012,1,3,Carte 3 4X Cb Oney Croix 24/06,Carte 3 4X Cb Oney Croix 24/06,-30.14,2021-06-28 00:00:00+00:00,2021-06-28 00:00:00+00:00,2021-06-28 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:18.197164+00:00,2025-10-15 19:35:18.197164+00:00
14,10000013,1,3,Carte 3 4X Cb Oney Croix 11/12,Carte 3 4X Cb Oney Croix 11/12,-32.44,2021-09-01 00:00:00+00:00,2021-09-01 00:00:00+00:00,2021-09-01 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:18.944653+00:00,2025-10-15 19:35:18.944653+00:00
15,10000014,1,3,Carte 3 4X Cb Oney Croix 22/12,Carte 3 4X Cb Oney Croix 22/12,-41.62,2021-12-01 00:00:00+00:00,2021-12-01 00:00:00+00:00,2021-12-01 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:19.722304+00:00,2025-10-15 19:35:19.722304+00:00
16,10000015,1,3,Carte 3 4X Cb Oney Croix 11/01,Carte 3 4X Cb Oney Croix 11/01,-32.44,2021-09-01 00:00:00+00:00,2021-09-01 00:00:00+00:00,2021-09-01 00:00:00+00:00,,EUR,1,Carte,inconnu,False,False,,2025-10-15 19:35:20.429248+00:00,2025-10-15 19:35:20.429248+00:00
